"Abbeville County,  South Carolina", South Carolina
"Acadia Parish,  Louisiana", Louisiana
"Accomack County,  Virginia", Virginia
"Ada County,  Idaho", Idaho
"Adair County,  Iowa", Iowa
"Adair County,  Kentucky", Kentucky
"Adair County,  Missouri", Missouri
"Adair County,  Oklahoma", Oklahoma
"Adams County,  Colorado", Colorado
"Adams County,  Idaho", Idaho
"Adams County,  Illinois", Illinois
"Adams County,  Indiana", Indiana
"Adams County,  Iowa", Iowa
"Adams County,  Mississippi", Mississippi
"Adams County,  Nebraska", Nebraska
"Adams County,  North Dakota", North Dakota
"Adams County,  Ohio", Ohio
"Adams County,  Pennsylvania", Pennsylvania
"Adams County,  Washington", Washington
"Adams County,  Wisconsin", Wisconsin
"Addison County,  Vermont", Vermont
"Adjuntas Municipality,  Puerto Rico", Puerto Rico
"Aguada Municipality,  Puerto Rico", Puerto Rico
"Aguadilla Municipality,  Puerto Rico", Puerto Rico
"Aguas Buenas Municipality,  Puerto Rico", Puerto Rico
"Aibonito Municipality,  Puerto Rico", Puerto Rico
"Aiken County,  South Carolina", South Carolina
"Aitkin County,  Minnesota", Minnesota
"Alachua County,  Florida", Florida
"Alamance County,  North Carolina", North Carolina
"Alameda County,  California", California
"Alamosa County,  Colorado", Colorado
"Albany County,  New York", New York
"Albany County,  Wyoming", Wyoming
"Albemarle County,  Virginia", Virginia
"Alcona County,  Michigan", Michigan
"Alcorn County,  Mississippi", Mississippi
"Aleutians East Borough,  Alaska", Alaska
"Aleutians West Census Area,  Alaska", Alaska
"Alexander County,  Illinois", Illinois
"Alexander County,  North Carolina", North Carolina
"Alfalfa County,  Oklahoma", Oklahoma
"Alger County,  Michigan", Michigan
"Allamakee County,  Iowa", Iowa
"Allegan County,  Michigan", Michigan
"Allegany County,  Maryland", Maryland
"Allegany County,  New York", New York
"Alleghany County,  North Carolina", North Carolina
"Alleghany County,  Virginia", Virginia
"Allegheny County,  Pennsylvania", Pennsylvania
"Allen County,  Indiana", Indiana
"Allen County,  Kansas", Kansas
"Allen County,  Kentucky", Kentucky
"Allen County,  Ohio", Ohio
"Allen Parish,  Louisiana", Louisiana
"Allendale County,  South Carolina", South Carolina
"Alpena County,  Michigan", Michigan
"Alpine County,  California", California
"Amador County,  California", California
"Amelia County,  Virginia", Virginia
"Amherst County,  Virginia", Virginia
"Amite County,  Mississippi", Mississippi
"Añasco Municipality,  Puerto Rico", Puerto Rico
"Municipality of Anchorage,  Alaska (a consolidated city-borough under Alaska law)", Alaska
"Anderson County,  Kansas", Kansas
"Anderson County,  Kentucky", Kentucky
"Anderson County,  South Carolina", South Carolina
"Anderson County,  Tennessee", Tennessee
"Anderson County,  Texas", Texas
"Andrew County,  Missouri", Missouri
"Andrews County,  Texas", Texas
"Androscoggin County,  Maine", Maine
"Angelina County,  Texas", Texas
"Anne Arundel County,  Maryland", Maryland
"Anoka County,  Minnesota", Minnesota
"Anson County,  North Carolina", North Carolina
"Antelope County,  Nebraska", Nebraska
"Antrim County,  Michigan", Michigan
"Apache County,  Arizona", Arizona
"Appanoose County,  Iowa", Iowa
"Appling County,  Georgia", Georgia
"Appomattox County,  Virginia", Virginia
"Aransas County,  Texas", Texas
"Arapahoe County,  Colorado", Colorado
"Archer County,  Texas", Texas
"Archuleta County,  Colorado", Colorado
"Arecibo Municipality,  Puerto Rico", Puerto Rico
"Arenac County,  Michigan", Michigan
"Arkansas County,  Arkansas", Arkansas
"Arlington County,  Virginia", Virginia
"Armstrong County,  Pennsylvania", Pennsylvania
"Armstrong County,  Texas", Texas
"Aroostook County,  Maine", Maine
"Arroyo Municipality,  Puerto Rico", Puerto Rico
"Arthur County,  Nebraska", Nebraska
"Ascension Parish,  Louisiana", Louisiana
"Ashe County,  North Carolina", North Carolina
"Ashland County,  Ohio", Ohio
"Ashland County,  Wisconsin", Wisconsin
"Ashley County,  Arkansas", Arkansas
"Ashtabula County,  Ohio", Ohio
"Asotin County,  Washington", Washington
"Assumption Parish,  Louisiana", Louisiana
"Atascosa County,  Texas", Texas
"Atchison County,  Kansas", Kansas
"Atchison County,  Missouri", Missouri
"Athens County,  Ohio", Ohio
"Atkinson County,  Georgia", Georgia
"Atlantic County,  New Jersey", New Jersey
"Atoka County,  Oklahoma", Oklahoma
"Attala County,  Mississippi", Mississippi
"Audrain County,  Missouri", Missouri
"Audubon County,  Iowa", Iowa
"Auglaize County,  Ohio", Ohio
"Augusta County,  Virginia", Virginia
"Aurora County,  South Dakota", South Dakota
"Austin County,  Texas", Texas
"Autauga County,  Alabama", Alabama
"Avery County,  North Carolina", North Carolina
"Avoyelles Parish,  Louisiana", Louisiana
"Baca County,  Colorado", Colorado
"Bacon County,  Georgia", Georgia
"Bailey County,  Texas", Texas
"Baker County,  Florida", Florida
"Baker County,  Georgia", Georgia
"Baker County,  Oregon", Oregon
"Baker Island,  U.S. Minor Outlying Islands", U.S. Minor Outlying Islands
"Baldwin County,  Alabama", Alabama
"Baldwin County,  Georgia", Georgia
"Ballard County,  Kentucky", Kentucky
"Baltimore County,  Maryland", Maryland
"Bamberg County,  South Carolina", South Carolina
"Bandera County,  Texas", Texas
"Banks County,  Georgia", Georgia
"Banner County,  Nebraska", Nebraska
"Bannock County,  Idaho", Idaho
"Baraga County,  Michigan", Michigan
"Barber County,  Kansas", Kansas
"Barbour County,  Alabama", Alabama
