Abbeville County, South Carolina
Acadia Parish, Louisiana
Accomack County, Virginia
Ada County, Idaho
Adair County, Iowa
Adair County, Kentucky
Adair County, Missouri
Adair County, Oklahoma
Adams County, Colorado
Adams County, Idaho
Adams County, Illinois
Adams County, Indiana
Adams County, Iowa
Adams County, Mississippi
Adams County, Nebraska
Adams County, North Dakota
Adams County, Ohio
Adams County, Pennsylvania
Adams County, Washington
Adams County, Wisconsin
Addison County, Vermont
Adjuntas Municipality, Puerto Rico
Aguada Municipality, Puerto Rico
Aguadilla Municipality, Puerto Rico
Aguas Buenas Municipality, Puerto Rico
Aibonito Municipality, Puerto Rico
Aiken County, South Carolina
Aitkin County, Minnesota
Alachua County, Florida
Alamance County, North Carolina
Alameda County, California
Alamosa County, Colorado
Albany County, New York
Albany County, Wyoming
Albemarle County, Virginia
Alcona County, Michigan
Alcorn County, Mississippi
Aleutians East Borough, Alaska
Aleutians West Census Area, Alaska
Alexander County, Illinois
Alexander County, North Carolina
Alfalfa County, Oklahoma
Alger County, Michigan
Allamakee County, Iowa
Allegan County, Michigan
Allegany County, Maryland
Allegany County, New York
Alleghany County, North Carolina
Alleghany County, Virginia
Allegheny County, Pennsylvania
Allen County, Indiana
Allen County, Kansas
Allen County, Kentucky
Allen County, Ohio
Allen Parish, Louisiana
Allendale County, South Carolina
Alpena County, Michigan
Alpine County, California
Amador County, California
Amelia County, Virginia
Amherst County, Virginia
Amite County, Mississippi
Añasco Municipality, Puerto Rico
Municipality of Anchorage, Alaska
Anderson County, Kansas
Anderson County, Kentucky
Anderson County, South Carolina
Anderson County, Tennessee
Anderson County, Texas
Andrew County, Missouri
Andrews County, Texas
Androscoggin County, Maine
Angelina County, Texas
Anne Arundel County, Maryland
Anoka County, Minnesota
Anson County, North Carolina
Antelope County, Nebraska
Antrim County, Michigan
Apache County, Arizona
Appanoose County, Iowa
Appling County, Georgia
Appomattox County, Virginia
Aransas County, Texas
Arapahoe County, Colorado
Archer County, Texas
Archuleta County, Colorado
Arecibo Municipality, Puerto Rico
Arenac County, Michigan
Arkansas County, Arkansas
Arlington County, Virginia
Armstrong County, Pennsylvania
Armstrong County, Texas
Aroostook County, Maine
