name,email
Beaverton Police Department,krodriguez@beavertonoregon.gov
Catholic Charities,lcrombie@catholiccharitiesoregon.org
Clackamas Service Center,debramason@cscoregon.org
Healthy Familes of Clackamas County,bkersens@healthyfamiliescc.org
Dollar for Portland,jared@dollorfor.org
Emmanuel Housing Center,shauntemeyers@emmanuelpdx.org
Helensview School,hgandee@mesd.k12.or.us
JOIN,ccarroll@joinpdx.org
Job Corps (PIVOT),zutz.kayla@jobcorps.org
NARA,christman@naranw.org
NW Housing Alternatives,doty@nwhousing.org
Pregnancy Resource Center,debbie@portlandprc.org
Portland Homeless Family Solutions,emma@pdxhfs.org
Raphael House,lvold@raphaelhouse.com
The Rebecca Foundation's Cloth Diaper Closet,portland@clothforall.org
Rose Haven,adeol@rosehaven.org
Self Enhancement Inc.,stephaniep@selfenhancement.org
Teen Parent Services (PPS),lgovan@pps.net
Volunteers of America,cross@voaor.org
Central City Concern,lindsey.ramsey@ccconcern.org
